,Ticker,Totalpnl,trades,tradeswon,tradeslost,winratio
3,AIAENG,52.717999999999904,18,15,3,0.8333333333333334
6,AARTIDRUGS,21.777499999999876,32,20,8,0.625
7,ABBOTINDIA,139.2065000000013,27,17,10,0.6296296296296297
8,ADANIENT,25.18325000000002,37,27,10,0.7297297297297297
13,ABFRL,1.3017499999999949,18,11,7,0.6111111111111112
14,AEGISCHEM,-9.389500000000032,29,18,11,0.6206896551724138
23,APOLLOTYRE,4.044749999999955,27,19,8,0.7037037037037037
24,ASAHIINDIA,-0.32874999999993104,18,12,6,0.6666666666666666
26,ASIANPAINT,56.932250000000415,36,24,11,0.6666666666666666
29,ASTRAL,22.957599999999974,39,26,12,0.6666666666666666
30,ATUL,89.29550000000054,20,13,6,0.65
31,AUROPHARMA,16.063499999999706,29,19,10,0.6551724137931034
32,AVANTIFEED,-5.935500000000147,13,8,5,0.6153846153846154
34,AXISBANK,27.466000000000143,42,27,13,0.6428571428571429
35,BASF,-10.201750000000132,8,5,2,0.625
36,BEML,-0.1537500000003611,26,17,8,0.6538461538461539
40,BAJFINANCE,23.709750000000085,57,35,22,0.6140350877192983
41,BAJAJFINSV,43.10474999999981,52,33,19,0.6346153846153846
43,BALAMINES,-2.0097499999999746,17,13,4,0.7647058823529411
47,BANKINDIA,-0.4427500000000084,26,16,7,0.6153846153846154
50,BAYERCROP,59.158249999998006,22,14,8,0.6363636363636364
52,BEL,0.2516999999999936,25,16,9,0.64
53,BHARATFORG,-3.5892499999999523,25,16,9,0.64
54,BHEL,1.639500000000007,17,13,4,0.7647058823529411
55,BPCL,4.244000000000023,25,16,9,0.64
59,BIRLACORPN,21.707999999999934,21,14,7,0.6666666666666666
60,BSOFT,1.3344999999999887,12,8,4,0.6666666666666666
62,BLUESTARCO,2.010000000000044,19,12,7,0.631578947368421
63,BBTC,-19.424249999999585,15,10,5,0.6666666666666666
65,BOSCHLTD,1680.8069999999966,30,26,4,0.8666666666666667
66,BRIGADE,-8.460649999999976,12,8,4,0.6666666666666666
76,CAPLIPOINT,6.536750000000126,16,11,3,0.6875
78,CARBORUNIV,2.5204999999998705,26,17,9,0.6538461538461539
79,CASTROLIND,5.379500000000014,24,17,6,0.7083333333333334
83,CENTURYPLY,0.35775000000002644,22,16,5,0.7272727272727273
84,CENTURYTEX,21.562500000000135,41,28,13,0.6829268292682927
85,CERA,30.869249999999727,10,7,3,0.7
88,CHOLAFIN,1.56265,36,25,11,0.6944444444444444
89,CIPLA,22.399249999999977,26,18,8,0.6923076923076923
90,CUB,6.155500000000005,14,10,3,0.7142857142857143
91,COALINDIA,-12.718750000000115,43,27,15,0.627906976744186
95,CAMS,13.5715,2,2,0,1.0
97,COROMANDEL,-10.290749999999997,20,13,7,0.65
98,CROMPTON,-5.371249999999995,14,9,5,0.6428571428571429
99,CUMMINSIND,-17.607750000000067,25,17,8,0.68
101,DCMSHRIRAM,2.3320000000000825,25,16,9,0.64
102,DLF,16.978999999999978,33,24,9,0.7272727272727273
105,DEEPAKNTR,1.2199999999998434,27,18,9,0.6666666666666666
107,DHANI,1.6752500000000001,1,1,0,1.0
109,DIVISLAB,80.71025000000009,31,20,11,0.6451612903225806
111,LALPATHLAB,-17.58250000000011,21,13,8,0.6190476190476191
113,EIDPARRY,-4.252749999999965,16,10,6,0.625
114,EIHOTEL,2.8012500000000196,13,10,3,0.7692307692307693
117,EICHERMOT,19.23195000000085,41,25,16,0.6097560975609756
120,ENDURANCE,36.184999999999796,25,17,7,0.68
121,ENGINERSIN,5.1272499999999805,19,14,5,0.7368421052631579
124,FDC,2.533000000000001,10,7,3,0.7
125,FEDERALBNK,0.12275000000000902,35,22,13,0.6285714285714286
126,FACT,1.159000000000003,12,9,2,0.75
127,FINCABLES,11.747749999999991,21,13,5,0.6190476190476191
128,FINPIPE,-0.900949999999982,18,11,7,0.6111111111111112
129,FSL,-2.931999999999968,33,21,11,0.6363636363636364
131,GAIL,1.2141499999999839,24,15,9,0.625
133,GMRINFRA,0.3802500000000043,20,14,5,0.7
134,GALAXYSURF,33.64874999999982,10,7,3,0.7
135,GARFIBRES,7.223249999999911,16,11,5,0.6875
137,GLAXO,24.79664999999971,31,22,9,0.7096774193548387
139,GODFRYPHLP,-20.377499999999813,16,10,5,0.625
147,GESHIP,1.7037500000000558,21,14,7,0.6666666666666666
148,GRINDWELL,8.842749999999999,11,9,1,0.8181818181818182
150,GAEL,0.08055000000001433,17,11,4,0.6470588235294118
151,GUJGASLTD,1.3706500000000135,13,10,3,0.7692307692307693
153,GPPL,-2.7405000000000195,8,5,3,0.625
167,HINDALCO,14.11874999999996,32,24,7,0.75
169,HINDCOPPER,2.143500000000007,16,10,3,0.625
172,HINDZINC,-4.0065000000000115,23,15,8,0.6521739130434783
174,HUDCO,-1.1235000000000028,13,8,5,0.6153846153846154
175,HDFC,175.10349999999957,73,47,26,0.6438356164383562
180,IDFCFIRSTB,0.6444999999999844,25,17,8,0.68
181,IDFC,-0.9419999999999953,27,17,8,0.6296296296296297
184,IRB,-0.8897499999999823,24,17,7,0.7083333333333334
185,ITC,12.864500000000039,31,22,9,0.7096774193548387
186,ITI,3.04075,9,6,0,0.6666666666666666
187,INDIACEM,0.11350000000001981,20,13,5,0.65
190,INDIANB,-4.986749999999926,27,17,10,0.6296296296296297
193,IOC,-1.772899999999992,33,22,11,0.6666666666666666
195,INDOCO,3.5272500000000173,8,7,1,0.875
196,IGL,8.560249999999773,39,24,15,0.6153846153846154
197,INDUSTOWER,5.281750000000029,17,12,5,0.7058823529411765
198,INDUSINDBK,0.8894999999994564,40,26,14,0.65
200,NAUKRI,112.05250000000052,34,25,9,0.7352941176470589
202,INOXLEISUR,7.6385000000000005,13,10,3,0.7692307692307693
204,INDIGO,59.26850000000012,43,29,14,0.6744186046511628
206,JBCHEPHARM,16.886249999999965,15,10,4,0.6666666666666666
207,JKCEMENT,10.443249999999958,28,17,11,0.6071428571428571
209,JKLAKSHMI,1.5002499999999594,21,13,8,0.6190476190476191
210,JKPAPER,1.8484999999999996,24,16,7,0.6666666666666666
213,JSWSTEEL,-0.6562500000000195,37,25,11,0.6756756756756757
214,JAMNAAUTO,-1.6604999999999828,16,10,6,0.625
215,JSL,-1.5612499999999971,17,13,4,0.7647058823529411
216,JINDALSTEL,-7.187500000000003,30,19,10,0.6333333333333333
217,JUBLFOOD,-12.97439999999995,29,18,11,0.6206896551724138
219,JUSTDIAL,-0.6625000000000232,30,21,9,0.7
226,KALPATPOWR,-10.33325,25,16,9,0.64
227,KANSAINER,10.779749999999943,23,18,5,0.782608695652174
233,LTIM,92.85649999999954,45,29,16,0.6444444444444445
234,LAXMIMACH,15.385749999999618,20,14,5,0.7
236,LAURUSLABS,7.047150000000011,22,16,6,0.7272727272727273
237,LINDEINDIA,-4.589250000000055,18,11,6,0.6111111111111112
239,LUXIND,-5.717749999999949,16,11,5,0.6875
240,MMTC,-0.1591500000000008,14,11,2,0.7857142857142857
246,MAHLIFE,-1.8731000000000388,24,15,9,0.625
248,MANAPPURAM,2.1069999999999642,28,17,11,0.6071428571428571
249,MRPL,1.48250000000002,18,12,5,0.6666666666666666
250,MARICO,7.590750000000046,22,14,8,0.6363636363636364
251,MARUTI,157.2252500000002,48,31,17,0.6458333333333334
252,MASTEK,3.703500000000094,16,11,4,0.6875
254,MOTILALOFS,12.11350000000007,19,13,6,0.6842105263157895
257,MUTHOOTFIN,51.45450000000007,31,20,11,0.6451612903225806
259,NBCC,1.1099999999999937,17,12,5,0.7058823529411765
260,NCC,-0.8557500000000127,18,13,5,0.7222222222222222
263,NOCIL,-2.260250000000008,11,7,4,0.6363636363636364
265,NH,-3.1019999999999652,25,16,8,0.64
266,NATIONALUM,-1.532250000000017,20,13,7,0.65
275,OFSS,-13.054750000000084,17,11,6,0.6470588235294118
277,PNBHOUSING,9.613750000000078,24,16,7,0.6666666666666666
280,PAGEIND,-901.1055000000024,42,26,16,0.6190476190476191
283,PFIZER,13.18075000000028,21,13,8,0.6190476190476191
286,POLYMED,5.152499999999995,11,9,2,0.8181818181818182
287,POLYPLEX,-1.81074999999991,23,17,6,0.7391304347826086
288,PFC,3.9887499999999974,32,22,10,0.6875
289,POWERGRID,3.9315500000000467,31,19,12,0.6129032258064516
290,PRAJIND,4.917999999999995,14,12,2,0.8571428571428571
292,PRSMJOHNSN,0.5500000000000158,11,8,3,0.7272727272727273
294,PGHL,-33.016249999998365,33,24,9,0.7272727272727273
295,PGHH,176.84899999999857,14,11,3,0.7857142857142857
296,PNB,1.4604999999999972,26,17,9,0.6538461538461539
302,RAJESHEXPO,-5.072499999999861,16,11,4,0.6875
303,RALLIS,-7.5812499999999545,13,8,5,0.6153846153846154
304,RCF,0.7315000000000073,16,10,4,0.625
305,RATNAMANI,-2.5572500000000957,24,15,9,0.625
307,REDINGTON,-1.7889000000000006,17,12,5,0.7058823529411765
309,RELIANCE,97.05900000000072,53,38,15,0.7169811320754716
319,SFL,6.333549999999974,8,6,2,0.75
322,SHREECEM,43.10199999999651,31,20,11,0.6451612903225806
324,SHRIRAMFIN,101.78374999999996,36,27,9,0.75
325,SIEMENS,-0.7907499999997967,32,22,10,0.6875
330,SAIL,0.8780000000000157,35,25,10,0.7142857142857143
333,SPARC,3.4685000000000343,11,9,2,0.8181818181818182
337,SUNDRMFAST,2.213000000000046,23,14,9,0.6086956521739131
347,TV18BRDCST,-2.5062499999999943,16,10,6,0.625
350,TATACHEM,-2.790000000000046,27,18,9,0.6666666666666666
351,TATACOFFEE,1.638249999999997,6,5,1,0.8333333333333334
353,TCS,132.37125000000097,67,43,24,0.6417910447761194
357,TATAMOTORS,3.9837500000000468,45,32,13,0.7111111111111111
362,TECHM,0.0184999999997979,29,18,11,0.6206896551724138
368,TIMKEN,-11.739500000000248,12,9,3,0.75
376,TRITURBINE,-1.508999999999992,6,4,2,0.6666666666666666
378,UCOBANK,0.5040000000000003,12,8,2,0.6666666666666666
382,UNIONBANK,0.2550000000000191,23,18,5,0.782608695652174
392,VINATIORGA,65.00109999999997,35,22,12,0.6285714285714286
393,IDEA,-0.06040000000000001,12,10,2,0.8333333333333334
397,WESTLIFE,2.9399999999999658,4,3,1,0.75
398,WHIRLPOOL,168.87625000000003,29,25,4,0.8620689655172413
400,WOCKPHARMA,-17.516749999999934,35,22,10,0.6285714285714286
406,ECLERX,7.1911999999999825,13,8,4,0.6153846153846154
